MONTH,AGE,COUNT
01-2021,0 - 9 Years,203149
01-2021,10 - 19 Years,437319
01-2021,20 - 29 Years,681401
01-2021,30 - 39 Years,598936
01-2021,40 - 49 Years,543691
01-2021,50 - 59 Years,536841
01-2021,60 - 69 Years,383406
01-2021,70 - 79 Years,210101
01-2021,80+ Years,134270
01-2021,Missing,54897
01-2021,NA,18
02-2021,0 - 9 Years,47982
02-2021,10 - 19 Years,100155
02-2021,20 - 29 Years,137088
02-2021,30 - 39 Years,122410
02-2021,40 - 49 Years,110526
02-2021,50 - 59 Years,109457
02-2021,60 - 69 Years,79495
02-2021,70 - 79 Years,42634
02-2021,80+ Years,26366
02-2021,Missing,7135
02-2021,NA,3
11-2020,0 - 9 Years,111015
11-2020,10 - 19 Years,276889
11-2020,20 - 29 Years,469751
11-2020,30 - 39 Years,414861
11-2020,40 - 49 Years,379490
11-2020,50 - 59 Years,368475
11-2020,60 - 69 Years,265075
11-2020,70 - 79 Years,147850
11-2020,80+ Years,98992
11-2020,Missing,21300
11-2020,NA,8
12-2020,0 - 9 Years,223237
12-2020,10 - 19 Years,498143
12-2020,20 - 29 Years,848416
12-2020,30 - 39 Years,778890
12-2020,40 - 49 Years,707634
12-2020,50 - 59 Years,690802
12-2020,60 - 69 Years,494987
12-2020,70 - 79 Years,271097
12-2020,80+ Years,186650
12-2020,Missing,55683
12-2020,NA,18
